parte_proyecto_inclusion,sexo,edad,departamento,ciudad,unidad_educativa,nivel_educacion_maximo,anios_experiencia,tiempo_ue_actual,tiempo_ue_actual_num,area_imparte,paso_curso_tec,curso,pc_casa,laptop_escritorio,num_pc,tablet,num_tablet,origen_pc,pc_llenado,pc_juegos,pc_estudio,pc_musica,pc_redes,pc_nada,pc_planificar,pc_clases,pc_videos,pc_internet,tiene_celular,tiene_smartphone,cel_llamadas,cel_musica,cel_juegos,cel_fotos,cel_redes,cel_text,cel_videos,cel_internet,internet_casa,internet_movil,internet_colegio,usa_facebook,usa_youtube,usa_whatsapp,usa_messenger,usa_instagram,usa_twiter,usa_linkedin,usa_skype,dias_uso_internet,so,conoce_soft_libre,existe_laboratorio,sabe_inclusion_digital
Sí,Femenino,27,Santa Cruz,Santa Cruz de la Sierra,HERMANOS ANTONIO Y MARCOS CAVANIS,licenciatura,5,Más de un año,2,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Por cuenta propia,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,No,Sí,No
Sí,Femenino,47,Santa Cruz,Montero,San José Obrero Mañana,licenciatura,20,Más de un año,2,Comunidad y Sociedad,Sí,Las tic,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,6,Windows,No,No,Sí
Sí,Masculino,31,Beni,Trinidad,LA SALLE FISCAL Tarde,maestria,3,Más de un año,2,"Ciencia, Tecnología y Producción",Sí,Inclusión Digital,Sí,Computadora portátil,3,Sí,1,Por cuenta propia,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,7,Windows,Sí,Sí,No
Sí,Femenino,61,Oruro,Oruro,BOLIVIA DE VINTO SECUNDARIA,licenciatura,30,Más de un año,15,"Ciencia, Tecnología y Producción",Sí,uso de las tics,Sí,Computadora de escritorio,1,No,NA,Por cuenta propia,No,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,34,La Paz,El Alto,AYACUCHO TARDE,especialidad,10,Más de un año,3,Comunidad y Sociedad,Sí,Tic ciencias sociales,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,7,Windows,Sí,Sí,Sí
Sí,Femenino,34,La Paz,El Alto,JOSE ANTONIO PAREDES CANDIA,especialidad,12,Más de un año,8,"Vida, Tierra y Territorio",Sí,Inskape,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,2,Windows,Sí,Sí,Sí
Sí,Femenino,33,Oruro,Oruro,PANTALEON DALENCE 1,licenciatura,12,Más de un año,8,"Vida, Tierra y Territorio",Sí,El de AGETIC,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,7,Windows,No,Sí,No
Sí,Masculino,20,Tarija,Tarija,BOLIVIA 2 Mañana,especialidad,6,Más de un año,2,"Vida, Tierra y Territorio",Sí,computacion,Sí,Computadora de escritorio,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,1,Windows,Sí,Sí,Sí
Sí,Femenino,57,La Paz,La Paz,PEDRO POVEDA A,especialidad,35,Más de un año,18,Comunidad y Sociedad,Sí,Manejo de Kipus,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,7,Windows,No,No,No
Sí,Femenino,45,Oruro,Oruro,JESUS DE NAZARETH,licenciatura,23,Más de un año,19,"Vida, Tierra y Territorio",Sí,Manejo de tics en el aula,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,65,La Paz,La Paz,ISAAC MALDONADO REQUE,licenciatura,40,Más de un año,11,"Ciencia, Tecnología y Producción",Sí,Resolución gráfica ecuaciones 1er grado,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Linux,Sí,Sí,Sí
Sí,Femenino,39,La Paz,El Alto,SAN MARTIN DE PORRES MAÑANA,licenciatura,8,Más de un año,5,Cosmos y Pensamiento,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,No,Sí,Sí
Sí,Masculino,78,Cochabamba,Quillacollo,CALAMA,licenciatura,11,Más de un año,5,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,3,Windows,Sí,Sí,Sí
Sí,Femenino,45,La Paz,La Paz,NATALIA PALACIOS,licenciatura,20,Más de un año,13,Comunidad y Sociedad,Sí,Manejo de kuas y elaboración de planes ,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,7,Windows,Sí,No,Sí
Sí,Femenino,45,Santa Cruz,Montero,San José Obrero Mañana,especialidad,8,Más de un año,8,Cosmos y Pensamiento,Sí,,Sí,Computadora de escritorio,1,No,NA,Por algún familiar,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,NA,Windows,No,No,No
No,Masculino,39,La Paz,La Paz,MARIEN GARTEN C,licenciatura,12,Más de un año,5,Cosmos y Pensamiento,Sí,TIC en aula,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,3,Windows,No,No,No
Sí,Femenino,29,Santa Cruz,Montero,San José Obrero Mañana,licenciatura,8,Más de un año,7,Comunidad y Sociedad,Sí,Tics,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,7,Windows,No,Sí,No
Sí,Femenino,38,La Paz,La Paz,SAN SIMON DE AYACUCHO A,licenciatura,14,Más de un año,2,"Vida, Tierra y Territorio",Sí,TICs e Inclusión digital,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,7,Windows,Sí,No,Sí
Sí,Femenino,56,Beni,Trinidad,MARIO SAELLY Mañana,especialidad,32,Más de un año,26,"Ciencia, Tecnología y Producción",Sí,Inclusion digital,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,1,Windows,Sí,Sí,Sí
Sí,Femenino,56,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,normalista,33,Más de un año,30,"Ciencia, Tecnología y Producción",Sí,Geogebra,Sí,Computadora portátil,1,No,NA,Por cuenta propia,Sí,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,Sí,Sí,No
Sí,Femenino,35,La Paz,La Paz,HUGO DAVILA A,normalista,7,Más de un año,2,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,Sí,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,3,Windows,Sí,Sí,Sí
Sí,Masculino,53,La Paz,La Paz,NATALIA PALACIOS,licenciatura,21,Más de un año,8,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,Sí,Sí
Sí,Masculino,55,La Paz,El Alto,SIMON BOLIVAR TARDE,licenciatura,30,Más de un año,23,Comunidad y Sociedad,Sí,classroom y agetic,Sí,Computadora portátil,2,Sí,2,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,6,Windows,Sí,No,No
Sí,Femenino,34,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,tecnico,9,Más de un año,9,"Ciencia, Tecnología y Producción",No,,No,,NA,No,NA,Por algún familiar,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,No,No,7,Windows,Sí,Sí,No
Sí,Femenino,52,La Paz,La Paz,MAX VALDIVIA,licenciatura,25,Más de un año,10,"Vida, Tierra y Territorio",Sí,Tic en biología ,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,No,No
Sí,Femenino,54,La Paz,La Paz,ALFREDO VARGAS B,licenciatura,27,Menos de un año,NA,Comunidad y Sociedad,Sí,Tics,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,7,Windows,Sí,No,Sí
Sí,Masculino,47,La Paz,La Paz,25 DE MAYO,especialidad,21,Más de un año,7,"Vida, Tierra y Territorio",Sí,Intrumentas y erramientas virtuales ,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,47,La Paz,El Alto,12 DE OCTUBRE TARDE,licenciatura,23,Más de un año,1,Comunidad y Sociedad,Sí,Tics en el aula,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,No,Sí
Sí,Femenino,36,La Paz,La Paz,MAX VALDIVIA,especialidad,7,Más de un año,4,Comunidad y Sociedad,Sí,Software libre ,Sí,Computadora portátil,2,Sí,2,Por cuenta propia,No,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,NA,Windows,Sí,Sí,Sí
Sí,Masculino,46,La Paz,La Paz,ELISA DE BALLIVIAN,licenciatura,20,Menos de un año,NA,Cosmos y Pensamiento,Sí,Tics en secundaria ,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,7,Windows,No,No,Sí
Sí,Masculino,50,Oruro,Oruro,LA SALLE TARDE,licenciatura,25,Más de un año,22,Comunidad y Sociedad,Sí,Audacy,Sí,Computadora de escritorio,3,Sí,1,Dotada por el ministerio,No,No,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,7,Windows,Sí,Sí,Sí
Sí,Masculino,61,La Paz,El Alto,BAUTISTA SAAVEDRA,especialidad,33,Más de un año,9,"Ciencia, Tecnología y Producción",Sí,"RECURSOS TIC EN ÁREAS DE SABERES Y CONOCIMIENTOS MATEMÁTICA (NIVEL: 1, 2, 3)",Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,51,La Paz,La Paz,MAX VALDIVIA,tecnico,26,Más de un año,3,"Ciencia, Tecnología y Producción",Sí,Tics,Sí,Computadora de escritorio,1,Sí,1,Por cuenta propia,No,No,Sí,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,No,No,3,Windows,Sí,Sí,Sí
Sí,Masculino,40,La Paz,El Alto,SIMON BOLIVAR TARDE,maestria,14,Menos de un año,NA,"Ciencia, Tecnología y Producción",Sí,Uso de recursos educativos,Sí,Computadora portátil,1,No,NA,Por cuenta propia,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,7,Windows,Sí,No,Sí
Sí,Masculino,45,Oruro,Oruro,BOLIVIA DE VINTO SECUNDARIA,licenciatura,10,Más de un año,3,"Ciencia, Tecnología y Producción",No,,Sí,Computadora de escritorio,1,Sí,1,Dotada por el ministerio,No,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,5,Windows,No,Sí,Sí
Sí,Masculino,50,Oruro,Oruro,LA SALLE TARDE,especialidad,33,Más de un año,20,Comunidad y Sociedad,No,,Sí,Computadora de escritorio,2,No,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,No,No,No
Sí,Femenino,35,La Paz,El Alto,COSMOS 79 MAÑANA,licenciatura,12,Más de un año,10,"Vida, Tierra y Territorio",Sí,Unefco en el área de química ,Sí,Computadora portátil,2,Sí,2,Dotada por el ministerio,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,No,No,No
Sí,Femenino,45,La Paz,El Alto,SIMON BOLIVAR TARDE,especialidad,19,Más de un año,4,Comunidad y Sociedad,Sí,Uso de TICs ,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,7,Windows,No,No,No
Sí,Femenino,48,La Paz,El Alto,SAN MARTIN DE PORRES MAÑANA,licenciatura,16,Más de un año,14,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,No,5,Windows,No,Sí,Sí
Sí,Femenino,50,La Paz,La Paz,FELIPE SEGUNDO GUZMÁN,licenciatura,27,Más de un año,4,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,7,Windows,No,Sí,Sí
Sí,Femenino,54,Oruro,Oruro,PANTALEON DALENCE 1,licenciatura,28,Más de un año,8,"Ciencia, Tecnología y Producción",Sí,Manejo de las TICs,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,NA,Windows,No,Sí,No
Sí,Femenino,35,Oruro,Oruro,JUANA AZURDUY DE PADILLA SECUNDARIA,especialidad,5,Más de un año,2,Comunidad y Sociedad,Sí,Uso de las TICS,Sí,Computadora portátil,1,No,NA,Por cuenta propia,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,3,Windows,Sí,Sí,Sí
Sí,Femenino,39,La Paz,La Paz,FELIPE SEGUNDO GUZMÁN,licenciatura,8,Más de un año,4,Comunidad y Sociedad,Sí,Diplomado en Nuevas tecnologías en Educación UNIFRANZ,Sí,Computadora portátil,1,Sí,1,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,No,Sí
Sí,Femenino,35,La Paz,La Paz,MARIEN GARTEN C,licenciatura,14,Más de un año,11,Comunidad y Sociedad,Sí,N Tics,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,7,Windows,No,Sí,Sí
Sí,Femenino,61,La Paz,La Paz,HERNANDO SILES REYES,especialidad,34,Más de un año,11,Comunidad y Sociedad,Sí,Capacitación en elaboración de programas educativos,Sí,Computadora portátil,2,Sí,1,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,39,Tarija,Tarija,TERESA DE CALCUTA Mañana,licenciatura,30,Más de un año,2,Comunidad y Sociedad,Sí,uso de Kuaas,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,6,Windows,Sí,Sí,Sí
Sí,Femenino,31,La Paz,La Paz,FUERZAS ARMADAS DE LA NACION B,especialidad,6,Menos de un año,NA,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,No,Sí,Sí,No,Sí,No,No,Sí,Sí,No,No,No,No,No,6,Windows,Sí,Sí,Sí
Sí,Masculino,39,Beni,Trinidad,NICOLAS SUAREZ Mañana,licenciatura,20,Más de un año,20,Cosmos y Pensamiento,Sí,Inclusión Digital ,Sí,Computadora de escritorio,2,Sí,1,Por cuenta propia,No,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,NA,Windows,No,No,No
Sí,Femenino,35,Beni,Trinidad,NICOLAS SUAREZ Mañana,especialidad,8,Más de un año,3,"Vida, Tierra y Territorio",Sí,Uso y manejo de las tics,Sí,Computadora portátil,2,No,NA,Por cuenta propia,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,Sí,Sí
Sí,Femenino,65,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,especialidad,34,Más de un año,30,Comunidad y Sociedad,Sí,Cómo manejar los KUAAs,Sí,Computadora portátil,3,Sí,1,Otro,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,7,Windows,Sí,No,No
Sí,Masculino,60,Oruro,Machacamarca,PEDRO DOMINGO MURILLO 2,licenciatura,33,Más de un año,5,Comunidad y Sociedad,Sí,manejo en equipos kuua,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,53,La Paz,La Paz,CRISTIANO VIDA NUEVA,licenciatura,20,Más de un año,3,"Vida, Tierra y Territorio",Sí,Uso de paquetes,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,67,La Paz,La Paz,NATALIA PALACIOS,normalista,35,Más de un año,20,Comunidad y Sociedad,Sí,Talleres del ministerio,Sí,Computadora de escritorio,1,No,NA,Por cuenta propia,Sí,No,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,2,Windows,No,No,Sí
Sí,Femenino,47,Oruro,Oruro,JESUS DE NAZARETH,normalista,22,Más de un año,20,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,40,Cochabamba,Sacaba,JOSE LEONCIO CAPRILES,normalista,20,Menos de un año,NA,"Vida, Tierra y Territorio",Sí,inclusion digital,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,Sí,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Femenino,35,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,licenciatura,8,Más de un año,5,Comunidad y Sociedad,Sí,uso de pisos tecnologicos,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,No,NA,Windows,Sí,Sí,Sí
Sí,Masculino,29,Beni,Trinidad,MARIO SAELLY Mañana,licenciatura,5,Más de un año,3,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,Sí,1,Por cuenta propia,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,Sí,No
Sí,Masculino,59,Oruro,Machacamarca,PEDRO DOMINGO MURILLO 2,licenciatura,30,Más de un año,18,Comunidad y Sociedad,Sí,Unefco,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,51,La Paz,El Alto,SIMON BOLIVAR TARDE,licenciatura,20,Más de un año,14,Cosmos y Pensamiento,Sí,Uso y manejo de las Tics.,Sí,Computadora portátil,1,Sí,2,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,No,Sí
Sí,Masculino,43,La Paz,La Paz,ANTONIO DIAZ VILLAMIL A,normalista,3,Más de un año,1,"Ciencia, Tecnología y Producción",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,No,NA,Windows,Sí,Sí,Sí
Sí,Masculino,40,La Paz,La Paz,ANTONIO DIAZ VILLAMIL A,normalista,6,Más de un año,3,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,No,No,No,No,NA,Windows,Sí,Sí,Sí
